-,-,-
-105, 282, 782
-119, 710, 729
-259, 1276, 825
-457, 1780, 1133
-585, 1823, 1755
-533, 1139, 1998
-329, -36, 1998
-91, -1303, 1998
-48, -1970, 1998
-126, -1998, 1998
-289, -1998, 1777
-484, -1998, 1121
-646, -1872, 687
-700, -1560, 414
-607, -1396, 303
-467, -1288, -14
-428, -1018, -341
-502, -607, -654
-516, -510, -825
-836, -55, -797
-1064, 352, -792
-1074, 589, -892
-1095, 876, -801
-1028, 1341, -552
-909, 1829, -395
-919, 1997, -32
-709, 1997, 377
-709, 1997, 377
-249, 1960, 1096
91, 1492, 1861
311, 699, 1998
580, 36, 1998
647, -356, 1998
598, -846, 1998
780, -1525, 1998
892, -1877, 1998
577, -1491, 1525
456, -1493, 1290
127, -1156, 1272
-60, -971, 1262
-174, -612, 1152
-98, -354, 876
-,-,-
-131, 154, 1352
-102, 273, 1577
-126, 342, 1873
-433, 224, 1998
-433, 224, 1998
-779, -192, 1998
-888, -834, 1998
-806, -1332, 1998
-854, -1602, 1998
-769, -1780, 1975
-424, -1486, 820
-399, -1269, 426
-427, -1168, 296
-427, -1168, 296
-465, -1007, 92
-637, -662, -420
-779, -347, -857
-844, -182, -996
-1007, 81, -906
-1065, 517, -969
-1015, 876, -1187
-931, 1077, -952
-768, 1184, -643
-606, 1160, -450
-503, 1168, -19
-536, 1362, 387
-518, 1601, 764
-263, 1602, 1047
31, 1496, 1347
112, 1374, 1836
136, 1055, 1998
200, 628, 1998
418, -187, 1998
804, -1043, 1998
941, -1430, 1750
494, -1175, 1979
374, -1327, 1660
334, -1614, 1690
280, -1724, 1666
89, -1315, 1468
-111, -830, 1359
-258, -453, 1202
-259, -241, 1199
-166, -150, 1167
-49, -133, 1108
37, -136, 1055
37, -136, 1055
56, -140, 1052
66, -181, 1084
72, -209, 1127
-,-,-
313, -384, 1429
318, -430, 1495
223, -278, 1653
147, 39, 1917
147, 39, 1917
116, 85, 1994
-118, -542, 1998
-255, -1526, 1998
-605, -1987, 1998
-891, -1998, 1998
-940, -1998, 1802
-741, -1998, 1080
-626, -1998, 764
-640, -1906, 576
-744, -1484, 228
-862, -1082, -55
-949, -638, -496
-1016, -146, -931
-997, 240, -1245
-825, 320, -1376
-732, 459, -1088
-716, 604, -831
-752, 746, -494
-695, 993, -196
-601, 1367, -12
-516, 1764, 106
-410, 1991, 244
-256, 1997, 492
-179, 1997, 773
-144, 1859, 1106
-9, 1394, 1333
226, 749, 1608
226, 749, 1608
418, 230, 1875
418, -94, 1979
302, -457, 1955
222, -754, 1967
215, -1001, 1827
316, -1401, 1891
435, -1798, 1993
420, -1807, 1980
403, -1429, 1672
244, -1019, 1267
132, -816, 1304
-5, -622, 1209
-123, -403, 1292
-131, -231, 1114
-91, -137, 1059
30, -244, 1031
119, -301, 1017
119, -301, 1017
132, -269, 1020
141, -258, 1008
148, -268, 1021
-,-,-
-55, 413, 1662
-220, 574, 1920
-434, 479, 1998
-505, 187, 1998
-518, -404, 1998
-506, -1096, 1998
-391, -1563, 1981
-210, -1771, 1394
-73, -1745, 626
29, -1811, -19
-59, -1880, -636
-179, -1968, -560
-503, -1639, -810
-719, -1183, -1001
-868, -712, -1113
-1014, -278, -901
-1011, -55, -584
-954, 227, -234
-959, 701, -105
-909, 1127, 195
-723, 1279, 597
-435, 1259, 741
-202, 1270, 663
6, 1334, 731
258, 1357, 875
258, 1357, 875
367, 1402, 979
338, 1355, 976
370, 1214, 1030
391, 1048, 1022
425, 746, 975
350, 350, 964
194, -157, 1206
206, -658, 1516
206, -658, 1516
248, -996, 1651
435, -1414, 1591
527, -1813, 1599
290, -1763, 1773
-102, -1445, 1941
-244, -1221, 1842
-324, -928, 1556
-373, -725, 1383
-345, -610, 1413
-259, -587, 1365
-,-,-
-38, -31, 1478
-137, -18, 1695
-185, -213, 1845
-246, -558, 1998
-328, -877, 1998
-439, -1082, 1998
-655, -1219, 1998
-692, -1403, 1998
-516, -1780, 1934
-371, -1994, 1542
-354, -1998, 1074
-372, -1930, 620
-386, -1710, 178
-400, -1382, -266
-541, -832, -643
-770, -234, -913
-948, 203, -968
-937, 351, -988
-851, 411, -826
-774, 544, -605
-714, 688, -520
-682, 784, -481
-593, 842, -421
-489, 1027, -274
-466, 1181, 99
-466, 1181, 99
-583, 1324, 495
-582, 1492, 840
-397, 1482, 1010
-104, 1215, 1247
212, 798, 1429
220, 605, 1540
179, 165, 1796
415, -676, 1998
683, -1481, 1998
604, -1587, 1998
353, -1208, 1709
490, -1423, 1820
679, -1800, 1601
697, -1807, 1631
499, -1409, 1241
331, -995, 973
129, -677, 907
129, -677, 907
-94, -464, 1025
-178, -446, 893
-136, -531, 873
-90, -551, 947
-98, -463, 958
-132, -352, 880
-142, -334, 864
-112, -378, 925
-84, -434, 968
-104, -390, 971
-163, -325, 968
-163, -325, 968
-,-,-
-87, -18, 1405
-194, 143, 1816
-299, -3, 1998
-319, -550, 1998
-364, -1154, 1998
-360, -1597, 1998
-353, -1776, 1998
-336, -1839, 1909
-380, -1775, 1419
-305, -1743, 1035
-383, -1594, 687
-514, -1371, 443
-600, -1266, 316
-463, -1417, 46
-361, -1374, -105
-414, -1041, -552
-568, -615, -714
-758, -239, -798
-854, 79, -864
-818, 222, -830
-735, 373, -682
-733, 586, -527
-806, 891, -406
-833, 1224, -296
-833, 1224, -296
-835, 1584, -161
-759, 1758, 222
-683, 1787, 673
-670, 1793, 845
-606, 1717, 1018
-403, 1351, 1341
-182, 705, 1724
106, -200, 1998
448, -1211, 1998
662, -1785, 1998
492, -1691, 1998
443, -1397, 1263
403, -1569, 1628
685, -1873, 1478
345, -1669, 1596
171, -1280, 1261
81, -973, 1092
-42, -729, 1136
-111, -645, 1073
-101, -564, 965
-103, -550, 969
-81, -527, 997
-58, -518, 986
-,-,-
80, 275, 1423
66, 476, 1730
-55, 578, 1998
-161, 195, 1998
-92, -506, 1998
-7, -1289, 1998
-78, -1856, 1998
-276, -1998, 1998
-423, -1998, 1759
-422, -1998, 1490
-484, -1998, 1255
-627, -1927, 1117
-763, -1600, 932
-783, -1290, 747
-622, -1045, 361
-383, -797, -216
-252, -469, -582
-266, -228, -880
-571, 81, -955
-852, 400, -706
-992, 682, -667
-992, 682, -667
-970, 801, -741
-831, 825, -658
-611, 854, -405
-510, 1031, -75
-448, 1290, 85
-404, 1443, 237
-360, 1447, 407
-294, 1326, 774
-240, 1223, 1190
-235, 1038, 1457
-362, 992, 1540
-517, 810, 1802
-536, 171, 1998
-200, -808, 1998
137, -1495, 1895
409, -1899, 1907
520, -1995, 1967
517, -1998, 1981
351, -1949, 1586
147, -1526, 1339
31, -1253, 1189
-36, -986, 1063
-36, -986, 1063
-78, -765, 947
-102, -657, 896
-124, -594, 904
-126, -525, 927
-106, -446, 897
-73, -395, 939
-46, -363, 938
-37, -337, 925
-,-,-
174, -84, 1996
1, -325, 1998
-28, -539, 1998
-28, -539, 1998
-5, -731, 1998
-60, -926, 1998
-257, -1179, 1998
-500, -1338, 1995
-611, -1412, 1545
-580, -1474, 981
-426, -1610, 577
-389, -1508, 306
-365, -1296, 0
-236, -1184, -439
-105, -1222, -616
-105, -1185, -714
-287, -911, -711
-506, -544, -654
-672, -201, -648
-790, 48, -582
-795, 180, -425
-752, 385, -267
-645, 563, -163
-629, 707, -37
-647, 915, 48
-615, 1143, 293
-604, 1361, 543
-643, 1465, 659
-635, 1420, 774
-635, 1420, 774
-577, 1349, 1057
-475, 1216, 1463
-295, 852, 1816
-173, 394, 1975
-68, -89, 1998
90, -691, 1998
166, -1123, 1998
142, -1310, 1790
169, -1434, 1889
358, -1665, 1998
292, -1522, 1601
375, -1464, 1193
267, -1323, 1342
290, -1270, 1101
250, -1051, 947
213, -896, 815
121, -675, 768
